,Correct frequency,Samples per cycle,Rounded,Approximation frequency,Difference (cents),Friendly Cycles
C,261.6255653005986,84.28075434702004,84.0,261.4624505928854,-1.0797025986817868,3.0
C#,277.1826309768721,79.55043908158818,79.0,277.35849056603774,1.0980398278764334,2.0
D,293.6647679174076,75.08561601166097,75.0,294.0,1.9751575740457759,1.0
D#,311.1269837220809,70.87138420528805,71.0,310.5633802816901,-3.138957236515887,1.0
E,329.6275569128699,66.8936790555665,67.0,329.1044776119403,-2.749442380224108,1.0
F,349.2282314330039,63.13922534132262,63.0,350.0,3.8216779692029266,1.0
F#,369.9944227116344,59.595492922295456,59.0,369.5530726256983,-2.0663456826175732,3.0
G,391.99543598174927,56.250654920958354,56.0,392.0,0.02015670865839516,4.0
G#,415.3046975799451,53.09354825141468,53.0,416.0377358490566,3.0530406932639003,1.0
A,440.0,50.11363636363637,50.0,441.0,3.93015843943305,1.0
A#,466.1637615180899,47.3009740787076,47.0,465.84507042253523,-1.1839563711282999,3.0
B,493.8833012561241,44.64617439771473,44.0,493.65671641791045,-0.7944415148368119,3.0
